rank_test_score,mean_test_score,std_test_score,params
34,0.44474793539652185,0.014346292579050313,"{'subsample': 0.8, 'reg_lambda': 1.2, 'reg_alpha': 0.0, 'n_estimators': 400, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.8}"
35,0.44324032422984394,0.028261141567404953,"{'subsample': 0.9, 'reg_lambda': 0.8, 'reg_alpha': 0.01, 'n_estimators': 1000, 'min_child_weight': 2, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.65}"
36,0.44308515434536977,0.024365109348494042,"{'subsample': 0.75, 'reg_lambda': 1.2, 'reg_alpha': 0.05, 'n_estimators': 1000, 'min_child_weight': 4, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.15, 'colsample_bytree': 0.7}"
37,0.44264165038960845,0.011125269076271692,"{'subsample': 0.85, 'reg_lambda': 1.5, 'reg_alpha': 0.2, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.85}"
38,0.4425640254511947,0.011446831843175784,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 0.2, 'n_estimators': 1200, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.02, 'gamma': 0.05, 'colsample_bytree': 0.8}"
39,0.44242306652795776,0.025510677488015207,"{'subsample': 0.9, 'reg_lambda': 0.8, 'reg_alpha': 0.1, 'n_estimators': 1200, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.0, 'colsample_bytree': 0.8}"
40,0.441634991009569,0.01579785506157635,"{'subsample': 0.75, 'reg_lambda': 1.2, 'reg_alpha': 0.05, 'n_estimators': 400, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.75}"
41,0.43840082699056643,0.022736603378368456,"{'subsample': 0.85, 'reg_lambda': 0.8, 'reg_alpha': 0.05, 'n_estimators': 400, 'min_child_weight': 2, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.7}"
42,0.4371276299112559,0.018209269420657044,"{'subsample': 0.85, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.02, 'gamma': 0.1, 'colsample_bytree': 0.7}"
43,0.43484178469158147,0.019133043004191292,"{'subsample': 0.85, 'reg_lambda': 1.2, 'reg_alpha': 0.01, 'n_estimators': 1000, 'min_child_weight': 4, 'max_depth': 6, 'learning_rate': 0.02, 'gamma': 0.15, 'colsample_bytree': 0.65}"
44,0.43337811425762895,0.01063116578957408,"{'subsample': 0.7, 'reg_lambda': 1.2, 'reg_alpha': 0.01, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.7}"
45,0.43336251811087206,0.021032678241812475,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.05, 'n_estimators': 1000, 'min_child_weight': 4, 'max_depth': 7, 'learning_rate': 0.02, 'gamma': 0.2, 'colsample_bytree': 0.75}"
46,0.4311607840350475,0.024496370492094254,"{'subsample': 0.7, 'reg_lambda': 1.5, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.02, 'gamma': 0.0, 'colsample_bytree': 0.65}"
47,0.43025295023545596,0.01200372914239616,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 1200, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.02, 'gamma': 0.15, 'colsample_bytree': 0.7}"
48,0.42909433870213753,0.016546716684133263,"{'subsample': 0.7, 'reg_lambda': 1.5, 'reg_alpha': 0.01, 'n_estimators': 600, 'min_child_weight': 4, 'max_depth': 7, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.75}"
49,0.4284507638587405,0.03576045992526417,"{'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 0.2, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.8}"
50,0.4276704347034859,0.019408426907795314,"{'subsample': 0.8, 'reg_lambda': 1.2, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 7, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.65}"
51,0.42645749892795076,0.021142172794563856,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 4, 'max_depth': 7, 'learning_rate': 0.02, 'gamma': 0.1, 'colsample_bytree': 0.8}"
52,0.42487430057393877,0.031327969641752156,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 1200, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.85}"
53,0.4238995154747518,0.01478779256917563,"{'subsample': 0.7, 'reg_lambda': 1.5, 'reg_alpha': 0.0, 'n_estimators': 1200, 'min_child_weight': 7, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.75}"
54,0.4213987141091799,0.013514889843064409,"{'subsample': 0.7, 'reg_lambda': 1.2, 'reg_alpha': 0.2, 'n_estimators': 600, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.85}"
55,0.41581579881707276,0.011153984686739199,"{'subsample': 0.75, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 800, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.75}"
56,0.41456905097971014,0.013756669944646728,"{'subsample': 0.7, 'reg_lambda': 0.8, 'reg_alpha': 0.2, 'n_estimators': 400, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.65}"
57,0.4137428562326493,0.0366877315413659,"{'subsample': 0.75, 'reg_lambda': 2.0, 'reg_alpha': 0.2, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.8}"
58,0.40442190749182344,0.0201895480903552,"{'subsample': 0.75, 'reg_lambda': 1.2, 'reg_alpha': 0.01, 'n_estimators': 1200, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.8}"
59,0.40265502056294356,0.01959517739624765,"{'subsample': 0.7, 'reg_lambda': 1.2, 'reg_alpha': 0.2, 'n_estimators': 1000, 'min_child_weight': 4, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.15, 'colsample_bytree': 0.8}"
60,0.3968185020784161,0.0417060184115232,"{'subsample': 0.7, 'reg_lambda': 0.8, 'reg_alpha': 0.01, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.8}"
